a little	một chút
coffee	cà phê
coin	tiền kim loại
cold	lạnh, sự lạnh lẽo, lạnh nhạt
cold rolled steel	thép cán nguội
cold temperature test	sự thử ở nhiệt độ thấp 
cold test	sự thử lanh; sự thử ở nhiệt độ thấp 
cold weather test	sự thử trong thời tiết lạnh 
cold-and-hot test	sự thử nóng-lạnh, sự thử bằng nung nóng-làm lạnh 
coldly	lạnh nhạt, hờ hững, vô tâm
collapse	đổ, sụp đổ; sự đổ nát, sự sụp đổ
collapse load 	tải trọng phá hỏng, tải trọng
collapsible beam 	dầm tháo lắp được 
collar beam 	dầm ngang, xà ngang; thanh giằng (vì kèo) 
colleague	bạn đồng nghiệp
collect	sưu tập, tập trung lại
collection	sự sưu tập, sự tụ họp
college	trường cao đẳng, trường đại học
colour	màu sắc; tô màu
coloured	mang màu sắc, có màu sắc
column	cột , mục
combination	sự kết hợp, sự phối hợp
combination beam 	dầm tổ hợp, dầm ghép 
combine	kết hợp, phối hợp
combined load 	tải trọng phối hợp 
come	đến, tới, đi đến, đi tới
comedy	hài kịch
comfort	sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an
comfortable	thoải mái, tiện nghi, đầy đủ
comfortably	dễ chịu, thoải mái, tiện nghi, ấm cúng
command	ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền
commercial	buôn bán, thương mại
commercial concrete 	bê tông trộn sẵn 
commission	hội đồng, ủy ban, sự ủy nhiệm, sự ủy thác; ủy nhiệm, ủy
commit	giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
commitment	sự phạm tội, sự tận tụy, tận tâm
committee	ủy ban
common	công, công cộng, thông thường, phổ biến
commonly	thông thường, bình thường
communicate	truyền, truyền đạt; giao thiệp, liên lạc
communication	sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
communications 	các biện pháp thông tin liên lạc
community	dân chúng, nhân dân
company	công ty
compare	so sánh, đối chiếu
comparison	sự so sánh
compensation events 	các trường hợp bồi thường
compession test	sự thử nén 
compete	đua tranh, ganh đua, cạnh tranh
competition	sự cạnh tranh, cuộc thi, cuộc thi đấu
competitive	cạnh tranh, đua tranh
complain	phàn nàn, kêu ca
complaint	lời than phiền, than thở; sự khiếu nại, đơn kiện
complete	hoàn thành, xong;
completely	hoàn thành, đầy đủ, trọn vẹn
completion date 	ngày hoàn thành
completion of contract 	hoàn thành hợp đồng
complex	phức tạp, rắc rối
complicate	làm phức tạp, rắc rối
complicated	phức tạp, rắc rối
composit beam 	dầm hợp thể, dầm vật liệu hỗn hợp 
composite load 	tải trọng phức hợp 
composite steel and concrete structure	kết cấu liên hợp thép – bê tông cốt thép
composite steel and concrete structure	kết cấu liên hợp thép – bê tông cốt thép
compound beam 	dầm hỗn hợp
compound girder 	dầm ghép 
comprehensive test	sự thử toàn diện 
compremed concrete zone	vùng bê tông chịu nén
compression reinforcement	cốt thép chịu nén
compression reinforcement 	cốt (thép); cốt, sườn 
compressive load 	tải trọng nén 
compressive strength 	ứng suất chịu nén
computer	máy tính
concentrate	tập trung
concentrated load 	tải trọng tập trung 
concentration	sự tập trung, nơi tập trung
concept	khái niệm
concern	liên quan, dính líu tới; sự liên quan, sự dính líu tới
concerned	có liên quan, có dính líu
concerning	bâng khuâng, ái ngại
concert	buổi hòa nhạc
conclude	kết luận, kết thúc, chấm dứt
conclusion	sự kết thúc, sự kết luận, phần kết luận
concrete	bằng bê tông; bê tông
concrete	bê tông
concrete age at prestressing time	tuổi của bê tông lúc tạo dự ứng lực
concrete aggregate (sand and gravel) 	cốt liệu bê tông (cát và sỏi)
concrete base course 	cửa sổ tầng hầm
concrete composition	thành phần bê tông
concrete cover	bê tông bảo hộ (bên ngoài cốt thép)
concrete floor 	sàn bê tông
concrete hinge	chốt bê tông
concrete mixer/gravity mixer 	máy trộn bê tông
concrete proportioning	công thức pha trộn bê tông
concrete stress at tendon level	ứng suất bê tông ở thớ đặt cáp dự ứng lực
concrete surface treatement	xử lý bề mặt bê tông
concrete test hammer	súng bật nảy để thử cường độ bê tông
concrete thermal treatement	xử lý nhiệt cho bê tông
concrete unit weight, density of concrete	trọng lượng riêng bê tông
concrete-filled pipe pile	cọc ống thép nhồi bê tông lấp lòng
condition	điều kiện, tình cảnh, tình thế
condition of curing	điều kiện dưỡng hộ bê tông
conduct	điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ
cone test	sự thử nghiệm (độ sụt vữa bê tông) bằng chùy hình nón 
conference	hội nghị, sự bàn bạc
confidence	lòng tin tưởng, sự tin cậy
confident	tin tưởng, tin cậy, tự tin
confidently	tự tin
confine	giam giữ, hạn chế
confined	hạn chế, giới hạn
confirm	xác nhận, chứng thực
conflict	xung đột, va chạm; sự xung đột, sự va chạm
confront	đối mặt, đối diện, đối chiếu
confused	bối rối, lúng túng, ngượng
confusing	khó hiểu, gây bối rối
confusion	sự lộn xộn, sự rối loạn
congratulations	sự chúc mừng, khen ngợi; lời chúc mừng, khen
congress	đại hội, hội nghị, quốc hội
conjugate beam 	dầm trang trí, dầm giả 
connect	kết nối, nối
connect by hinge	nối khớp
connected load 	tải trọng liên kết 
connection	sự kết nối, sự giao kết
connection	ghép nối
connection strand by strand	nối các đoạn cáp dự ứng lực kéo sau
connector	neo (của dầm thép liên hợp bản btct)
conscious	tỉnh táo, có ý thức, biết rõ
consequence	kết quả, hậu quả
conservative	thận trọng, dè dặt, bảo thủ
consider	cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
considerable	lớn lao, to tát, đáng kể
considerably	đáng kể, lớn lao, nhiều
consideration	sự cân nhắc, sự xem xét, sự để ý, sự quan tâm
consist of	gồm có
consistency test of concrete	sự thử nghiệm độ sụt của vữa bê tông 
constant	kiên trì, bền lòng
constant load 	tải trọng không đổi, tải trọng tĩnh 
constantly	kiên định
construct	xây dựng
construction	sự xây dựng
construction successive stage(s)	(các) giai đoạn thi công nối tiếp nhau
consult	tra cứu, tham khảo, thăm dò, hỏi ý kiến
consumer	người tiêu dùng
contact	sự liên lạc, sự giao thiệp; tiếp xúc
contain	bao hàm, chứa đựng, bao gồm
container	cái đựng, chứa; công te nơ
contemporary	đương thời, đương đại
content	nội dung, sự hài lòng
contest	cuộc thi, trận đấu, cuộc tranh luận, cuộc chiến đấu, chiến tranh
context	văn cảnh, khung cảnh, phạm vi
continent	lục địa, đại lục
continue	tiếp tục, làm tiếp
continuity test	sự thử tính liên tục 
continuous	liên tục, liên tiếp
continuous beam 	dầm liên tục
continuous concrete 	bê tông liền khối 
continuous girder 	dầm liên tục 
continuous load 	tải trọng liên tục; tải trọng phân bố đều 
continuously	liên tục, liên tiếp
contract	hợp đồng, sự ký hợp đồng; ký kết
contract data	dữ liệu hợp đồng
contract price 	giá hợp đồng
contractor to construct the works 	nhà thầu phải thi công công trình
contractor's name plate 	biển ghi tên nhà thầu
contractor's risks 	rủi ro của nhà thầu
contrast	sự tương phản; làm tương phản, làm trái
contrasting	tương phản
contribute	đóng góp, ghóp phần
contribution	sự đóng góp, sự góp phần
controlled	được điều khiển, được kiểm tra
controlling beam 	tia điều khiển 
convenient	tiện lợi, thuận lợi, thích hợp
convention	hội nghị, hiệp định, quy ước
conventional	quy ước
convergent beam 	chùm hội tụ
conversation	cuộc đàm thoại, cuộc trò chuyện
convert	đổi, biến đổi
convince	làm cho tin, thuyết phục; làm cho nhận thức thấy
cook	nấu ăn, người nấu ăn
cooker	lò, bếp, nồi nấu
cookie	bánh quy
cooking	sự nấu ăn, cách nấu ăn
cool	mát mẻ, điềm tĩnh; làm mát,
cope	đối phó, đương đầu
copper clad steel	thép mạ đồng
copy	bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
core	nòng cốt, hạt nhân; đáy lòng
corner	góc
corner connector	neo kiểu thép góc
correct	đúng, chính xác; sửa, sửa chữa
correction of defects 	sửa chữa sai sót
correctly	đúng, chính xác
corroded reinforcement	cốt thép đã bị rỉ
cost	giá, chi phí; trả giá, phải trả
cost control 	kiểm soát chi phí
cost of repairs 	chi phí sửa chữa
cottage	nhà tranh
cotton	bông, chỉ, sợi
cough	ho, sự ho, tiếng hoa
coughing	ho
could	có thể, có khả năng
could modal	có thể
council	hội đồng
count	đếm, tính
counter	quầy hàng, quầy thu tiền, máy đếm
country	nước, quốc gia, đất nước
countryside	miền quê, miền nông thôn
county	hạt, tỉnh
couple	đôi, cặp; đôi vợ chồng, cặp nam nữ
coupler	đầu nối để nối các cốt thép dự ứng lực
coupler (coupling)	mối nối cáp dự ứng lực kéo sau
coupleur	bộ nối các đoạn cáp dự ứng lực kéo sau
courage	sự can đảm, sự dũng cảm, dũng khí
course	tiến trình, quá trình diễn tiến; sân chạy đua
court	sân, sân , tòa án, quan tòa, phiên tòa
cousin	anh em họ
cover	bao bọc, che phủ; vỏ, vỏ bọc
cover ( boards) for the staircase 	tấm che lồng cầu thang
cover plate	bản thép phủ (ở phần bản cánh dầm thép )
cover-meter, rebar locator	máy đo lớp bê tông bảo hộ cốt thép
cover-meter, rebar locator	máy đo lớp bê tông bảo hộ cốt thép
cover-plate	bản nối ốp, bản má
covered	có mái che, kín đáo
covering	sự bao bọc, sự che phủ, cái bao, bọc
cow	con bò cái
crack	cừ, xuất sắc; làm nứt, làm vỡ, nứt nẻ, rạn nứt
cracked	rạn, nứt
craft	nghề, nghề thủ công
crane beam 	dầm cần trục 
crane girder 	giá cần trục; giàn cần trục 
crane load 	sức nâng của cần trục, trọng tải của cần trục 
crash	vải thô; sự rơi , sự phá sản, sụp đổ; phá tan tành, phá vụn
crazy	điên, mất trí
cream	kem
create	sáng tạo, tạo nên
creature	sinh vật, loài vật
credit	sự tin, lòng tin, danh tiếng; tiền gửi ngân hàng
credit card	thẻ tín dụng
creep strength 	độ bền từ biến
creep test	sự thử độ rão; sự thử độ lưu biến 
creep-rupture test	sự thử độ rão-gãy 
crime	tội, tội ác, tội phạm
criminal	có tội, phạm tội; kẻ phạm tội, tội phạm
crippling load 	tải trọng phá hủy 
crippling test	sự thử uốn dọc; sự thử uốn đi uốn lại 
crisis	sự khủng hoảng, cơn khủng hoảng
crisp	giòn
criterion	tiêu chuẩn
critical	phê bình, phê phán; khó tính
critical load 	tải trọng tới hạn 
criticism	sự phê bình, sự phê phán, lời phê bình, lời phê phán
criticize	phê bình, phê phán, chỉ trích
crop	vụ mùa
cross	cây thánh giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua
cross beam 	dầm ngang, xà ngang 
cross girder 	dầm ngang 
crowd	đám đông
crowded	đông đúc
crown	vương miện, vua, ngai vàng; đỉnh cao nhất
crucial	quyết định, cốt yếu, chủ yếu
cruel	độc ác, dữ tợn, tàn nhẫn
crush	ép, vắt, đè nát, đè bẹp
crushing load 	tải trọng nghiền, tải trọng nén vỡ 
crushing machine	máy nén mẫu thử bê tông
crushing strength 	độ bền nén vỡ
crushing test	sự thử nén vỡ 
cry	khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
cube strength 	độ bền nén ba phương
cultural	văn hóa
culture	văn hóa, sự mở mang, sự giáo dục
cup	tách, chén
cupboard	1 loại tủ có ngăn
curb	kiềm chế, nén lại, hạn chế
curb girder 	đá vỉa; dầm cạp bờ
cure	chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
cure to cure, curing	dưỡng hộ bê tông mới đổ xong
curing	bảo dưỡng bê tông trong lúc hóa cứng
curing temperature	nhiệt độ dưỡng hộ bê tông
curious	ham muốn, tò mò, lạ lùng
curiously	tò mò, hiếu kỳ, lạ kỳ
curl	quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
curly	quăn, xoắn
currencies 	các loại tiền tệ
current	hiện hành, phổ biến, hiện nay; dòng
currently	hiện thời, hiện nay
curtain	màn
curve	đường cong, đường vòng; cong, uốn cong, bẻ cong
curved	cong
custom	phong tục, tục lệ, thói quen, tập quán
customer	khách hàng
customs	thuế nhập khẩu, hải quan
cut	cắt, chặt; sự cắt
cutting machine	máy cắt cốt thép
cutting strength 	ứng lực cắt
cycle	chu kỳ, chu trình, vòng; quay vòng theo chu kỳ, đi xe đạp
cyclic load 	tải trọng tuần hoàn 
cycling	sự đi xe đạp
cyclopean concrete 	bê tông đá hộc 
cylinder, test cylinder	mẫu thử bê tông hình trụ
dad	bố, cha
daily	hàng ngày
damage	mối hạn, điều hại, sự thiệt hại; làm hư hại, làm hỏng, gây thiệt hại
damp	ẩm, ẩm ướt, ẩm thấp
damping test	sự thử giảm xóc, sự thử giảm âm; sự thử thấm 
